"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","3","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","3","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","3","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","2","%","57498"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","3","%","363"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","2","%","2566"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","275"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","1","%","1313"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","2","%","229"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","4","%","1046"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","2","%","498"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","2","%","588"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","653"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","2","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","2","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","3","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","6","%","57498"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","5","%","363"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","9","%","2566"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","2","%","275"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","3","%","1313"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","9","%","229"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","14","%","1046"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","8","%","498"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","10","%","588"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","653"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","6","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","6","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","8","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","20","%","57498"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","10","%","363"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","14","%","2566"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","20","%","275"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","22","%","1313"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","19","%","229"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","12","%","1046"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","18","%","498"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","21","%","588"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","16","%","653"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","21","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","21","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","14","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","19","%","57498"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","18","%","363"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","18","%","2566"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","20","%","275"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","25","%","1313"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","19","%","229"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","13","%","1046"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","16","%","498"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","18","%","588"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","24","%","653"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","19","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","19","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","17","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","14","%","57498"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","19","%","363"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","16","%","2566"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","23","%","275"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","14","%","1313"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","14","%","229"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","11","%","1046"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","14","%","498"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","14","%","588"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","19","%","653"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","14","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","14","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","17","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","11","%","57498"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","11","%","363"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","11","%","2566"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","11","%","275"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","9","%","1313"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","5","%","229"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","12","%","1046"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","10","%","498"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","8","%","588"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","11","%","653"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","11","%","52533"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","11","%","49674"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","13","%","2859"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","All","ONS 5+2","K02000001","6","%","57498"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Asian other","ONS 5+2","K02000001","7","%","363"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Asian","ONS 5+2","K02000001","6","%","2566"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","275"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Black","ONS 5+2","K02000001","8","%","1313"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Chinese","ONS 5+2","K02000001","9","%","229"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Indian","ONS 5+2","K02000001","5","%","1046"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Mixed","ONS 5+2","K02000001","9","%","498"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Other","ONS 5+2","K02000001","8","%","588"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","Pakistani","ONS 5+2","K02000001","7","%","653"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","White","ONS 5+2","K02000001","6","%","52533"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","White British","ONS 5+2","K02000001","7","%","49674"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2017/18-2019/20","Three-year average","White other","ONS 5+2","K02000001","5","%","2859"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","8","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","9","%","306"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Asian","ONS 5+2","K02000001","9","%","2135"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Bangladeshi","ONS 5+2","K02000001","9","%","223"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Black","ONS 5+2","K02000001","7","%","1086"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Chinese","ONS 5+2","K02000001","11","%","188"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Indian","ONS 5+2","K02000001","9","%","888"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Mixed","ONS 5+2","K02000001","10","%","441"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Other","ONS 5+2","K02000001","6","%","496"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","Pakistani","ONS 5+2","K02000001","8","%","530"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","White","ONS 5+2","K02000001","8","%","44228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","White British","ONS 5+2","K02000001","8","%","41909"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2018/19-2020/21","Three-year average","White other","ONS 5+2","K02000001","9","%","2319"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","6","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","9","%","306"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Asian","ONS 5+2","K02000001","6","%","2135"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","223"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Black","ONS 5+2","K02000001","5","%","1086"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Chinese","ONS 5+2","K02000001","6","%","188"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Indian","ONS 5+2","K02000001","6","%","888"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Mixed","ONS 5+2","K02000001","7","%","441"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Other","ONS 5+2","K02000001","5","%","496"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","Pakistani","ONS 5+2","K02000001","7","%","530"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","White","ONS 5+2","K02000001","6","%","44228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","White British","ONS 5+2","K02000001","6","%","41909"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2018/19-2020/21","Three-year average","White other","ONS 5+2","K02000001","6","%","2319"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","4","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","7","%","306"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Asian","ONS 5+2","K02000001","5","%","2135"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Bangladeshi","ONS 5+2","K02000001","3","%","223"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Black","ONS 5+2","K02000001","3","%","1086"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Chinese","ONS 5+2","K02000001","5","%","188"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Indian","ONS 5+2","K02000001","5","%","888"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Mixed","ONS 5+2","K02000001","6","%","441"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Other","ONS 5+2","K02000001","5","%","496"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","Pakistani","ONS 5+2","K02000001","5","%","530"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","White","ONS 5+2","K02000001","4","%","44228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","White British","ONS 5+2","K02000001","4","%","41909"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2018/19-2020/21","Three-year average","White other","ONS 5+2","K02000001","6","%","2319"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","3","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","4","%","306"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Asian","ONS 5+2","K02000001","3","%","2135"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","223"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Black","ONS 5+2","K02000001","2","%","1086"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Chinese","ONS 5+2","K02000001","3","%","188"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Indian","ONS 5+2","K02000001","4","%","888"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Mixed","ONS 5+2","K02000001","1","%","441"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Other","ONS 5+2","K02000001","5","%","496"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","530"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","White","ONS 5+2","K02000001","3","%","44228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","White British","ONS 5+2","K02000001","3","%","41909"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2018/19-2020/21","Three-year average","White other","ONS 5+2","K02000001","3","%","2319"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","2","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","2","%","306"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Asian","ONS 5+2","K02000001","2","%","2135"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","223"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Black","ONS 5+2","K02000001","1","%","1086"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Chinese","ONS 5+2","K02000001","3","%","188"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Indian","ONS 5+2","K02000001","3","%","888"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Mixed","ONS 5+2","K02000001","2","%","441"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Other","ONS 5+2","K02000001","3","%","496"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","530"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","White","ONS 5+2","K02000001","2","%","44228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","White British","ONS 5+2","K02000001","2","%","41909"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2018/19-2020/21","Three-year average","White other","ONS 5+2","K02000001","3","%","2319"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","7","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","5","%","306"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Asian","ONS 5+2","K02000001","8","%","2135"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Bangladeshi","ONS 5+2","K02000001","3","%","223"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Black","ONS 5+2","K02000001","4","%","1086"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Chinese","ONS 5+2","K02000001","11","%","188"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Indian","ONS 5+2","K02000001","14","%","888"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Mixed","ONS 5+2","K02000001","7","%","441"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Other","ONS 5+2","K02000001","11","%","496"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","530"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","White","ONS 5+2","K02000001","6","%","44228"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","White British","ONS 5+2","K02000001","6","%","41909"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2018/19-2020/21","Three-year average","White other","ONS 5+2","K02000001","8","%","2319"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2018/19-2020/21","Three-year average","All","ONS 5+2","K02000001","20","%","48386"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2018/19-2020/21","Three-year average","Asian other","ONS 5+2","K02000001","12","%","306"
